Name;NetWorth;Country;Source;Rank;Age;Residence;Citizenship;Status;Children;Education;Self_made;
Steve Conine;03.июн;United States;online retail;831;48.0;Boston, Massachusetts;United States;Married;3.0;Bachelor of Science in Engineering, Cornell University;True;
Hu Kaijun;03.июн;China;pharmaceuticals;831;59.0;Beijing, China;China;;;;True;
S. Curtis Johnson;03.июн;United States;cleaning products;831;66.0;Racine, Wisconsin;United States;Married;4.0;Bachelor of Arts/Science, Cornell University;;
Helen Johnson-Leipold;03.июн;United States;cleaning products;831;64.0;Racine, Wisconsin;United States;Married;5.0;Bachelor of Arts/Science, Cornell University;False;
Daryl Katz;03.июн;Canada;pharmacies;831;59.0;Edmonton, Canada;Canada;Married;2.0;Bachelor of Arts/Science, University of Alberta;;
Peter Kellogg;03.июн;United States;investments;831;78.0;Short Hills, New Jersey;United States;Married;3.0;Bachelor of Arts/Science, Babson College;False;
Samuel Tak Lee;03.июн;Hong Kong;real estate;831;82.0;Hong Kong, Hong Kong;Hong Kong;Married;7.0;Master of Business Administration, Harvard Business School;;
Li Hongxin & family;03.июн;China;paper & related products;831;68.0;Yanzhou, China;China;Married;3.0;;True;
Marianne Liebmann;03.июн;United States;Cargill;831;67.0;Bozeman, Montana;United States;Married;2.0;Bachelor of Arts/Science, Montana State University;False;
Winifred J. Marquart;03.июн;United States;cleaning products;831;62.0;Virginia Beach, Virginia;United States;Married;4.0;Drop Out, Cornell University;False;
Daniel Och;03.июн;United States;hedge funds;831;60.0;Miami Beach, Florida;United States;Married;3.0;Bachelor of Arts/Science, University of Pennsylvania, The Wharton School;True;
Anthony Pritzker;03.июн;United States;hotels, investments;831;60.0;Los Angeles, California;United States;Married;6.0;Bachelor of Arts/Science, Dartmouth College;False;
Rodger Riney & family;03.июн;United States;discount brokerage;831;75.0;St. Louis, Missouri;United States;Married;3.0;Bachelor of Arts/Science, University of Missouri;;
Niraj Shah;03.июн;United States;online retail;831;47.0;Boston, Massachusetts;United States;Married;2.0;Bachelor of Science in Engineering, Cornell University;True;
Lynsi Snyder;03.июн;United States;In-N-Out Burger;831;39.0;Glendora, California;United States;Married;;;False;
Jerzy Starak;03.июн;Poland;pharmaceuticals;831;73.0;Konstancin, Poland;Poland;Married;3.0;;True;
Michael Tojner;03.июн;Austria;batteries, investments;831;55.0;Vienna, Austria;Austria;;;Master of Business Administration, University of Vienna;;
Richard Tsai;03.июн;Taiwan;finance;831;63.0;Taipei, Taiwan;Taiwan;Married;2.0;Master of Business Administration, Leonard N. Stern School of Business;;
Ty Warner;03.июн;United States;real estate, plush toys;831;76.0;Oak Brook, Illinois;United States;Single;;Drop Out, Kalamazoo College;True;
Yang Shaopeng;03.июн;China;shipping;831;63.0;Qingdao, China;China;;;;True;
Yuan Liping;03.июн;Canada;pharmaceuticals;831;50.0;Shenzhen, China;Canada;Divorced;;;False;
Zhang Hongwei;03.июн;China;oil, banking;831;66.0;Beijing, China;China;Married;3.0;Bachelor of Arts/Science, Harbin Engineering University;;
Andrej Babis;03.май;Czechia;agriculture;859;66.0;Prague, Czechia;Czechia;Married;4.0;Master, University of Economics in Bratislava (UEB);True;
Shyam & Hari Bhartia;03.май;India;diversified;859;68.0;Delhi, India;India;Married;2.0;;False;
Hubert Burda;03.май;Germany;publishing;859;81.0;Munich, Germany;Germany;Married;2.0;Bachelor of Arts/Science, Ludwig Maxmilian University;False;
Chuchat Petaumpai & Daonapa Petampai;03.май;Thailand;motorcycle loans;859;67.0;Bangkok, Thailand;Thailand;Married;2.0;Bachelor of Arts/Economics, Oklahoma State University;True;
Charles Cohen;03.май;United States;real estate;859;69.0;New York, New York;United States;Married;4.0;Doctor of Jurisprudence, Brooklyn Law School;;
David Filo;03.май;United States;Yahoo;859;55.0;Palo Alto, California;United States;Married;1.0;Master of Science, Stanford University;;
Sergei Galitsky;03.май;Russia;retail;859;53.0;Krasnodar, Russia;Russia;Married;1.0;Bachelor of Arts/Science, Kuban State University;True;
Alessandra Garavoglia;03.май;Italy;spirits;859;61.0;Milan, Italy;Italy;;;Bachelor of Social Sciences, University of Milan;False;
Franco Bittar Garcia;03.май;Brazil;retailing;859;37.0;Franca, Brazil;Brazil;Single;;;False;
Martha Ingram & family;03.май;United States;book distribution, transportation;859;85.0;Nashville, Tennessee;United States;Widowed;4.0;Bachelor of Arts/Science, Vassar College;False;
H. Fisk Johnson;03.май;United States;cleaning products;859;62.0;Racine, Wisconsin;United States;Divorced;1.0;Bachelor of Arts/Science, Cornell University;;
Li Guoqiang;03.май;China;auto dealerships;859;57.0;Beijing, China;China;Married;;;True;
Lim Wee Chai;03.май;Malaysia;rubber gloves;859;63.0;Kuala Lumpur, Malaysia;Malaysia;Married;2.0;Master of Business Administration, Sul Ross State University;;
Liu Xiaodong;03.май;China;flavorings;859;53.0;Shanghai, China;China;;;;True;
Daniel Loeb;03.май;United States;hedge funds;859;59.0;New York, New York;United States;Married;;Bachelor of Arts/Science, Columbia University;True;
Jim McKelvey;03.май;United States;mobile payments;859;55.0;St. Louis, Missouri;United States;;;Bachelor of Arts/Economics, Washington University in St. Louis;;
Apoorva Mehta;03.май;Canada;grocery delivery service;859;34.0;San Francisco, California;Canada;Single;;Bachelor of Arts/Science, University of Waterloo;True;
N.R. Narayana Murthy;03.май;India;software services;859;74.0;Bangalore, India;India;Married;2.0;Master of Science, Indian Institute of Technology;True;
John Paulson;03.май;United States;hedge funds;859;65.0;New York, New York;United States;Married;2.0;Master of Business Administration, Harvard Business School;;
J.B. Pritzker;03.май;United States;hotels, investments;859;56.0;Springfield, Illinois;United States;Married;2.0;Bachelor of Arts/Science, Duke University;;
Michael Rubin;03.май;United States;online retail;859;48.0;Bryn Mawr, Pennsylvania;United States;Divorced;1.0;Drop Out, Villanova University;True;
Arnout Schuijff;03.май;Netherlands;payments software;859;53.0;Amsterdam, Netherlands;Netherlands;Married;;;True;
Thomas Secunda;03.май;United States;Bloomberg LP;859;66.0;Croton-on-Hudson, New York;United States;Married;2.0;Bachelor of Arts/Science, SUNY Binghamton;True;
Vivek Chaand Sehgal;03.май;Australia;auto parts;859;64.0;Delhi, India;Australia;Married;2.0;Bachelor of Arts/Science, Delhi University;True;
E. Joe Shoen;03.май;United States;U-Haul;859;71.0;Phoenix, Arizona;United States;Married;;Master of Business Administration, Harvard Business School;False;
Leena Tewari;03.май;India;pharmaceuticals;859;63.0;Mumbai, India;India;Married;2.0;B.Com, Bombay University;;
Julia Thiele-Schuerhoff;03.май;Germany;brakes;859;;;Germany;;;;False;
Romesh T. Wadhwani;03.май;United States;software;859;73.0;Palo Alto, California;United States;Married;1.0;Doctorate, Carnegie Mellon University;;
Wu Shaoxun;03.май;China;wine;859;65.0;Daye, China;China;;;;True;
Ye Guofu;03.май;China;retail;859;43.0;Guangzhou, China;China;;;;True;
Denise York & family;03.май;United States;San Francisco 49ers;859;70.0;Youngstown, Ohio;United States;Married;4.0;;False;
Zhou Jianping;03.май;China;fashion retail;859;60.0;Jiangyin, China;China;Married;;;True;
Mohed Altrad;03.апр;France;scaffolding, cement mixers;891;73.0;Montpellier, France;France;In Relationship;5.0;;True;
Gayle Benson;03.апр;United States;pro sports teams;891;74.0;New Orleans, Louisiana;United States;Widowed;;;False;
Francesco Gaetano Caltagirone;03.апр;Italy;cement, diversified;891;78.0;Rome, Italy;Italy;Married;3.0;;True;
William Conway; Jr.;03.апр;United States;private equity;891;71.0;McLean, Virginia;United States;Married;1.0;Bachelor of Arts/Science, Dartmouth College;POINT (-77.1776327 38.9342888)
Jim Davis;03.апр;United States;staffing & recruiting;891;77.0;Newton, Massachusetts;United States;Married;2.0;Bachelor of Arts/Science, Middlebury College;True;
Deng Wen;03.апр;China;flavorings;891;53.0;Chengdu, China;China;Married;;;True;
Ennio Doris & family;03.апр;Italy;financial services;891;80.0;Tombolo, Italy;Italy;Married;2.0;Diploma, High School;True;
Bernard Ecclestone & family;03.апр;United Kingdom;Formula One;891;90.0;London, United Kingdom;United Kingdom;Married;2.0;;True;
Alexander Frolov;03.апр;Russia;mining, steel;891;56.0;Moscow, Russia;Russia;Married;1.0;Doctorate, Moscow Institute of Physics and Technology;True;
Fiona Geminder;03.апр;Australia;manufacturing;891;56.0;Melbourne, Australia;Australia;Married;4.0;Bachelor of Arts/Science, Monash University;;
Zarakh Iliev;03.апр;Russia;real estate;891;54.0;Moscow, Russia;Russia;Married;2.0;;True;
Viktor Kharitonin;03.апр;Russia;pharmaceuticals;891;48.0;Moscow, Russia;Russia;Married;2.0;Bachelor of Arts/Science, Novosibirsk State University;True;
Steven Klinsky;03.апр;United States;investments;891;64.0;New York, New York;United States;;;Master of Business Administration, Harvard Business School;;
Chris Larsen;03.апр;United States;cryptocurrency;891;60.0;San Francisco, California;United States;Married;2.0;Bachelor of Arts/Science, San Francisco State University;;
Angela Leong;03.апр;Hong Kong;casinos;891;60.0;Hong Kong, Hong Kong;Hong Kong;Widowed;5.0;Diploma, High School;False;
Margarita Louis-Dreyfus & family;03.апр;Switzerland;commodities;891;58.0;Davos, Switzerland;Switzerland;Widowed;3.0;;False;
John Middleton;03.апр;United States;tobacco;891;66.0;Bryn Mawr, Pennsylvania;United States;Married;2.0;Bachelor of Arts/Science, Amherst College;;
Arnon Milchan;03.апр;Israel;movie making;891;76.0;Tel Aviv, Israel;Israel;Married;4.0;;True;
Arturo Moreno;03.апр;United States;billboards, Anaheim Angels;891;74.0;Phoenix, Arizona;United States;Married;3.0;Bachelor of Arts/Science, University of Arizona;True;
God Nisanov;03.апр;Russia;real estate;891;49.0;Moscow, Russia;Russia;Married;3.0;Diploma, Baku Institute of Law;True;
Benjamin Zhengmin Pan & family;03.апр;China;electronics;891;51.0;Shenzhen, China;China;Married;;Jiangsu Province Wujin Teacher School;True;
Jay Paul;03.апр;United States;real estate;891;73.0;San Francisco, California;United States;Married;;Bachelor of Arts/Science, Boston University;True;
Remo Ruffini;03.апр;Italy;winter jackets;891;59.0;Como, Italy;Italy;Married;2.0;;True;
Patrick Ryan;03.апр;United States;insurance;891;83.0;Winnetka, Illinois;United States;Married;3.0;Bachelor of Arts/Science, Northwestern University;True;
RJ Scaringe;03.апр;United States;electric vehicles;891;38.0;Irvine, California;United States;Married;3.0;;True;
Lynn Schusterman;03.апр;United States;oil & gas, investments;891;82.0;Tulsa, Oklahoma;United States;Widowed;3.0;Drop Out, University of Miami;False;
Eric Ya Shen;03.апр;China;online apparel retail;891;50.0;Guangzhou, China;China;;;;True;
Daniel Tsai;03.апр;Taiwan;finance;891;65.0;Taipei, Taiwan;Taiwan;Married;4.0;LLM, Georgetown University;;
Tung Chee Chen;03.апр;Hong Kong;shipping;891;78.0;Hong Kong, Hong Kong;Hong Kong;Married;2.0;Master of Science, Massachusetts Institute of Technology;;
Bulat Utemuratov;03.апр;Kazakhstan;mining, banking, hotels;891;63.0;Astana, Kazakhstan;Kazakhstan;Married;3.0;;True;
Frank VanderSloot;03.апр;United States;nutrition, wellness products;891;72.0;Idaho Falls, Idaho;United States;Married;14.0;Bachelor of Arts/Science, Brigham Young University;True;
Kelcy Warren;03.апр;United States;pipelines;891;65.0;Dallas, Texas;United States;Married;1.0;Bachelor of Arts/Science, University of Texas Arlington;True;
Xu Yi;03.апр;China;Internet;891;;;;;;;;
Vladimir Yevtushenkov;03.апр;Russia;telecom, investments;891;72.0;Moscow, Russia;Russia;Married;2.0;Bachelor of Arts/Science, Mendeleyev Chemical Engin;;
Somphote Ahunai;03.мар;Thailand;renewable energy;925;53.0;Bangkok, Thailand;Thailand;Married;3.0;Master of Business Administration, Joseph M. Katz Graduate School of Business;True;
